config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,328.0,0.1706363001636442,60.0,0.5846547484397888,411.329300000034
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,333.0,0.1529341032887126,60.0,0.3929214775562286,415.8639999996012
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,338.0,0.2247883286046059,60.0,0.6253703832626343,409.79109999989305
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,343.0,0.2305841869542544,60.0,0.287006676197052,414.0014999993582
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,348.0,0.1793085498811067,60.0,0.3721051514148712,415.6821000005948
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,353.0,0.1911964828402398,60.0,0.3035407662391662,419.9338999997053
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,358.0,0.1948778931293312,60.0,0.3404018580913543,411.6887000000133
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,363.0,0.1980418818545867,60.0,0.4227005541324615,409.48200000002544
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,368.0,0.2148452354650668,60.0,0.5222193002700806,416.4493999996921
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,373.0,0.1898929428279617,60.0,0.3752882778644562,424.6665999999095
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,378.0,0.2287446633093534,60.0,0.4750465154647827,409.6473999998125
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,383.0,0.199206277738847,60.0,0.2958546280860901,409.2748000002757
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,388.0,0.2377233673176,60.0,0.4003678262233734,413.02710000036313
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,393.0,0.1450481752585933,60.0,0.2951566576957702,412.37550000005285
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,398.0,0.1894495946994267,60.0,0.2138876169919967,639.9606999993921
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,403.0,0.1932336378819877,60.0,0.448109358549118,409.4819000001735
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,408.0,0.148694456210763,60.0,0.2470620572566986,415.2805999992779
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,413.0,0.1747130752146989,60.0,0.5740995407104492,410.4639999995925
6s context + 2s horizon,60,20,6.0,2.0,Branco_BDireito.txt,418.0,0.2050229019493073,60.0,0.2981088757514953,410.2309999998397
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,8.0,0.1916173109078788,60.0,0.4322602152824402,412.4939000002996
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,13.0,0.158814067546941,60.0,0.5591546893119812,414.4506999991791
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,18.0,0.1389974424893515,60.0,0.6747875213623047,409.0440999998464
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,23.0,0.1981295281729866,60.0,0.2788713574409485,413.4055000004082
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,28.0,0.1391145065325022,60.0,0.2382627576589584,411.5799999999581
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,33.0,0.1245839089285164,60.0,0.3295886814594269,411.0619000002771
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,38.0,0.1978470309457113,60.0,0.2944673299789428,405.2391999994143
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,43.0,0.2106069262564953,60.0,0.2117078453302383,418.7080000001515
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,48.0,0.1559755583327312,60.0,0.224222719669342,549.3530000003375
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,53.0,0.1981709283523374,60.0,0.3673099279403686,415.8967000003031
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,58.0,0.2997664065866542,60.0,0.5268256664276123,414.6694000000935
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,63.0,0.3005580966228194,60.0,0.2903851270675659,409.97930000048655
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,68.0,0.2630422223673708,60.0,0.3009935617446899,415.35210000074585
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,73.0,0.2894737646963105,60.0,0.2915045022964477,406.9555999994918
